variable,label,Correlation with HDI,Global mean,Global variance,Global max,Global min
ST011Q02TA2,In your home: A room of your own,-0.5226915779761909,0.8904971347612741,17.75394077252159,8.613625638839059,-19.27137282704403
ST011Q12TA2,In your home: A dictionary,0.5101230042003067,-0.7286044089221705,10.357672404969975,5.782393103746419,-9.229334993854842
ST013Q01TA,How many books are there in your home?,0.7713582567177739,4.538275302174426,5.597166422338767,9.145943254289831,-0.3139160270155467
ST022Q01TA-99,International Language at Home,0.4890844875425726,22.045084753852183,515.5621555652253,88.46259410031811,-15.45884489334882
ST034Q03TA,I feel like I belong at school.,-0.45897139547641663,-0.361458846993847,2.5386822536994513,4.4591055379131435,-3.2608270661730065
ST092Q01TA,How informed are you about this environmental issue? The increase of greenhouse gases in the atmosphere,0.47846310119502183,7.595125273743796,6.244658905445816,12.017445570233884,1.6652388150470119
ST113Q01TA,Making an effort in my <school science> subject(s) is worth it because this will help me in the work I want to do lat,0.4713674680287316,0.6334075525609839,2.609276884993623,3.9200425125368197,-4.215206959413116
ST129Q02TA,Explain why earthquakes occur more frequently in some areas than in others.,-0.49035702466734493,-3.643992322067847,3.0457915961410222,0.41116963663877115,-7.641130608139315
ST131Q01NA,A good way to know if something is true is to do an experiment.,-0.5476185434477533,0.988743797738136,4.2194866344675175,5.483821031089626,-4.122736995700474
BELONG,Subjective well-being: Sense of Belonging to School (WLE),-0.5667362894547248,-1.235091409903712,2.7812901364714295,2.5264499873581316,-5.826705510614156
WEALTH,Family wealth (WLE),-0.5758517759812299,-0.5915712113237008,1.3929357779961657,2.1260047560652358,-3.2215489884757673
NA_prop,Proportion of NA's,-0.4945341103434927,-10.854668018014385,41.06785616700079,-1.915958853625341,-32.483208979890044
occupation_m4,Mother's occupation,-0.4599000822463601,3.980770973154765,22.166008602106764,25.32858399441518,-5.482021850689888
occupation_m9,Mother's occupation,-0.5254484724824734,-4.365587519489025,3.4986852035510703,-0.23015476139964305,-8.842786907686596
occupation_s9,Self occupation,0.544149564287389,-0.06113937928096359,12.667310495491046,5.421226911844546,-17.361082404368734
ST118Q01NA,To what extent do you disagree or agree about yourself? I often worry that it will be difficult for me taking a test.,-0.460854617067743,-1.8320702819480468,2.4376409595213016,0.7530533410227437,-5.752285937044647
ST118Q02NA,To what extent do you disagree or agree about yourself? I worry that I will get poor <grades> at school.,-0.6409314519050722,-1.116622703799183,2.9650169364516303,2.8721889380439545,-4.610699630562359
ST119Q03NA,"I want to be the best, whatever I do.",-0.48499726958980677,-1.7241322286448622,2.299007267355567,1.5151081825562789,-4.941325512772372
ST119Q05NA,I want to be one of the best students in my class.,0.6705236957543008,1.6126619449506194,3.3005895595221975,5.21407477664207,-2.4006049851275377
ST121Q03NA,<NAME 3> is motivated? Wants to get top grades at school and continues working on tasks until perfect.,0.4521087980863201,3.267939428542659,5.174523325847296,8.049848803102458,-1.7769115037359964
ST082Q13NA,To what extent do you disagree or agree about yourself? I find that teamwork raises my own efficiency.,-0.6024254619634978,-1.9968054557605759,2.8582090846206882,2.8288801673372914,-5.266106568267948
ST082Q14NA,To what extent do you disagree or agree about yourself? I enjoy cooperating with peers.,0.5278133867026037,-0.8749594724760792,1.755082467795942,2.582321413623083,-4.231629288079788
ST039Q05NA,Teachers ridiculed me in front of others.,0.5431116960941149,0.15675642019908106,1.0410871156501358,2.3448329438659115,-1.81101406466738
ST064Q01NA,<school science> courses? I can choose the <school science> course(s) I study.,0.6039385616783944,-0.5437608752512967,4.086066034977838,4.483776318397959,-4.477859409547458
ST064Q03NA,<school science> courses? I can choose the number of <school science> courses or <class periods>.,0.4875781133187748,-1.576357243565373,3.7141351582946496,3.6526063837933034,-5.2670131991602025
ST093Q06TA,This issue will improve or get worse over next 20 years? Nuclear waste (student),-0.5050286297235411,-1.0818379750322453,2.8125463204449748,2.077441637464159,-5.55578887638501
ST095Q15NA,To what extent are you interested in: <broad science> topics? How science can help us prevent disease,-0.5178211300677203,-1.2299108803286651,1.7619106968654137,1.6343816923148797,-3.8308817294709168
ST146Q07NA,How often do you do these things? Simulate technical processes in computer programs\virtual labs,-0.46912112420441743,0.837335534703966,1.4797130277275288,4.816075496595294,-1.3044562531539465
ST076Q03NA1,Before going to school did you: Watch TV\<DVD>\Video,-0.5071574065835667,-2.100444299679563,4.291014297832552,1.6917887910239655,-7.698811133592697
ST076Q11NA1,Before going to school did you: Exercise or practice a sport,-0.5953987540713993,-3.136367640407358,4.265669953195548,0.874085987621943,-9.750118799749103
unfairteacher,Teacher Fairness (Sum),-0.5289606458742211,0.05077200703500239,1.9618905750641416,3.7860804612118546,-5.197250374785757
ST038Q08NA,Other students spread nasty rumours about me.,-0.5311367975890439,-1.0044217508861684,1.8440382922459475,1.0801276819041183,-4.996415839334292
ST003D02T1,Student (Standardized) Birth - Month,0.40619259681030206,-0.0049313506811115,6.986145252677585,7.3125475126558666,-5.381605542878693
ST006Q03TA-99,Does your mother have this qualification? <ISCED level 5B>,0.3968321007962757,-0.7644354787096574,8.672545365185476,6.4513307316907875,-7.663503096451064
ST006Q03TA1,Does your mother have this qualification? <ISCED level 5B>,-0.3517466371062873,-4.079202196746019e-5,6.980901806208707,7.037410175669604,-7.457452525880192
ST006Q04TA1,Does your mother have this qualification? <ISCED level 4>,-0.4495975744087161,-0.11668703249812445,6.432852961705305,7.032472050066728,-4.718004611718593
ST006Q04TA2,Does your mother have this qualification? <ISCED level 4>,0.41764163827810724,1.0015828773359392,2.2774435594473528,3.592041575812012,-2.998562235432743
ST008Q02TA1,Does your father have this qualification? <ISCED level 5A>,-0.41076753991409654,1.7029567415875437,6.899188792149735,10.895115605343815,-4.2522087092281815
ST011Q04TA2,In your home: A computer you can use for school work,-0.3775591567671794,-3.6684414978037934,15.043071805258053,2.502637223748371,-22.0461826118109
ST011Q05TA1,In your home: Educational software,-0.426647971397786,-1.7379337760196676,6.076156107018049,2.2779270291073233,-8.52745398278251
ST012Q01TA,How many in your home: Televisions,-0.44853607117102556,-1.2239285146739305,2.0292500954702817,2.7817194470111355,-4.0599507678546995
ST034Q05TA,Other students seem to like me.,-0.3549612386426945,-0.6007810311618978,1.5900490097282733,2.807621573673176,-3.6161555920628103
ST034Q06TA,I feel lonely at school.,-0.40113466858228286,-0.04244168532125115,1.4782296314878474,2.4596639630950845,-3.046679984108915
ST098Q01TA,When learning <school science>? Students are given opportunities to explain their ideas.,0.37420619279136313,0.11129510176169898,1.1463458730139255,2.14164041212046,-2.593705210664021
ST098Q03NA,When learning <school science>? Students are required to argue about science questions.,0.392634831418926,0.6373039791991287,3.1566832164370346,5.606827121108109,-2.793081491249697
ST098Q06TA,When learning <school science>? The teacher explains <school science> idea can be applied,0.42286158683094877,-1.7094470308801573,2.175423739983773,2.664417526654545,-5.754559151677217
ST100Q04TA,How often does this happen in your <school science>? The teacher continues teaching\students understand.,-0.4294526423039445,-0.5367071357528727,1.57648371182814,3.8341280809368534,-4.028103440193805
ST103Q01NA,How often does this happen in <school science>? The teacher explains scientific ideas.,0.37326670882875596,3.3309004468021834,3.230588115265666,9.019082017901164,0.6218054653785315
ST092Q08NA,How informed are you about this environmental issue? Extinction of plants and animals,-0.383181961464685,-0.890697641357876,2.361513638177525,3.3070374955216133,-5.132424776895535
ST092Q09NA,How informed are you about this environmental issue? Water shortage,-0.41693680581973047,-1.074999262037355,2.4215190729080014,3.6802751628029506,-4.749121035529112
ST094Q05NA,Disagree or agree with the statements? I am interested in learning about <broad science>.,0.4075047770510444,0.6933637456820462,1.2292281633307036,2.6959675863161774,-1.6801589807564683
ST113Q02TA,What I learn in my <school science> subject(s) is important for me because I need this for what I want to do later on,0.3628982770518883,0.5678817076776629,1.7732675904529691,3.2264805167937967,-2.636148953112213
ST129Q04TA,Identify the science question associated with the disposal of garbage.,0.3659450193382753,1.4349767007076384,2.01087954033369,5.3296387024559975,-1.480985061459777
IBTEACH,Inquiry-based science teaching an learning practices (WLE),0.41209629315626667,0.13124138476864827,1.5632363914781524,3.1856836235551875,-2.799311676905775
ENVAWARE,Environmental Awareness (WLE),-0.36844073938137467,-0.5520052276380288,3.6179346478244163,3.5041040833495183,-5.093314008018977
MISCED,Mother’s Education (ISCED),0.4104150822900241,0.12174277630864197,0.9742109839037622,1.939112095784538,-2.6641998183422775
BMMJ1,ISEI of mother,-0.39380055044723083,0.7271824810839493,2.636671745688728,5.852170251643959,-3.2463769179438313
REPEAT-99,Grade Repetition,-0.38357318254122685,4.949902016586675,598.6000858022012,68.56222721737528,-40.11138028086223
ICTRES,ICT Resources (WLE),-0.4438185906930117,0.44751819225061074,1.3030206326791773,4.711302283476328,-2.321766372674197
occupation_f9,Father's occupation,-0.4223073849034149,-3.614693131711156,6.299265469326395,1.9076380657661598,-9.870670596710953
occupation_s5,Self occupation,-0.41896045166717727,-4.072067007715084,10.939961749888763,4.901454294702026,-10.07464814323701
ST019BQ01T2,Country of Birth International - Mother,-0.3571232485670712,-0.8425575839085665,16.41010300175711,8.274490659226831,-10.42813927472635
ST118Q05NA,I get nervous when I don't know how to solve a task at school.,0.4043024817541009,0.17379476950452719,1.8182971391012437,4.543394815320729,-2.250838732723845
ST119Q04NA,I see myself as an ambitious person.,-0.40919833227809776,0.25470753603515994,3.6215494630138294,4.424725395704715,-4.870317584888328
ST062Q03TA,"In the last two full weeks of school, how often: I arrived late for school",-0.3928555000022391,-0.9864869244468939,1.6481841221560596,1.4093077644677896,-4.5232822034135705
ST071Q02NA,"This school year, approximately how many hours per week do you spend learning in addition? Mathematics",-0.4031644403634089,-1.2865957883654733,3.155857895504785,3.011461091639087,-4.441537732347502
ST032Q02NA,Vigorous physical activities for at least 20 minutes per day that made you sweat and breathe hard,-0.41474076250155867,-0.934251712944307,1.0375592859721996,1.5206006482941095,-3.3041449255961157
