variable,label,Correlation with GDP,Global mean,Global variance,Global max,Global min
ST011Q02TA2,In your home: A room of your own,-0.5002624039821137,0.512266033125621,18.28839961612613,8.613625638839059,-19.27137282704403
ST011Q12TA2,In your home: A dictionary,0.4571288474176273,-0.7458775322137654,10.092559082513336,5.782393103746419,-9.229334993854842
ST013Q01TA,How many books are there in your home?,0.6372023200990222,4.821351855620061,5.245231840284303,9.145943254289831,-0.3139160270155467
ST034Q05TA,Other students seem to like me.,-0.4554691775650348,-0.6521594097363977,1.7015810617283482,2.807621573673176,-3.6161555920628103
ST094Q05NA,Disagree or agree with the statements? I am interested in learning about <broad science>.,0.45179680876620226,0.7361664250561923,1.3365902961090679,2.6959675863161774,-1.6801589807564683
ST131Q01NA,A good way to know if something is true is to do an experiment.,-0.5023967026401259,0.8009092644213089,4.257691611426084,5.483821031089626,-4.122736995700474
BELONG,Subjective well-being: Sense of Belonging to School (WLE),-0.5952371195522996,-1.380009119665089,2.787262686973121,2.5264499873581316,-5.826705510614156
ICTRES,ICT Resources (WLE),-0.4718402847738781,0.5127175146707037,1.4201049878955856,4.711302283476328,-2.321766372674197
WEALTH,Family wealth (WLE),-0.5065677434086164,-0.6168886679430429,1.4257392508331397,2.1260047560652358,-3.2215489884757673
NA_prop,Proportion of NA's,-0.5656652744279836,-11.182282718278392,42.21430377627388,-1.915958853625341,-32.483208979890044
occupation_m9,Mother's occupation,-0.46657644512396795,-4.4007077409821,3.667501404358169,-0.23015476139964305,-8.842786907686596
occupation_f9,Father's occupation,-0.4933379426951949,-3.5312617123220846,6.8468782869626805,1.9076380657661598,-9.870670596710953
ST118Q02NA,To what extent do you disagree or agree about yourself? I worry that I will get poor <grades> at school.,-0.48374148236667697,-1.198610728636661,2.661697969215537,2.8721889380439545,-4.610699630562359
ST082Q13NA,To what extent do you disagree or agree about yourself? I find that teamwork raises my own efficiency.,-0.5328735869469905,-2.0842637317572335,2.510353436414901,0.9169831362471933,-5.266106568267948
ST082Q14NA,To what extent do you disagree or agree about yourself? I enjoy cooperating with peers.,0.5712644717304475,-0.8370580260559632,1.7903450335105746,2.582321413623083,-4.231629288079788
